SampleID	TIGIT	CD27	CD8A	PDCD1LG2	LAG3	CD274	CXCR6	CMKLR1	NKG7	CCL5	PSMB10	IDO1	CXCL9	HLA-DQA1	CD276	STAT1	HLA-DRB1	HLA-E	signature_score
TCGA-02-0047-01	1.1128427930913114	0.3020656551558818	1.091511264241262	1.5638101494516856	1.154585678934828	0.908437565192739	0.45322472997493524	4.800953739425274	0.8333185976859454	1.9310959190676986	5.0848837278092605	0.11555221018065605	1.6392614748461882	5.4247479882751	7.387384466066687	7.3261985322481395	7.498432850827498	8.179875322676573	3.1560101480639813
TCGA-02-0055-01	0.4733323107525717	1.118739584749832	2.555770810730029	5.048394299215705	1.317010956760561	4.723560528456005	1.1562896017248967	5.129656415192638	2.1575167715295023	3.7768577852317398	5.481396869240401	1.5676845184327919	2.2157796736200486	5.303803007477631	7.97619515318244	7.525755092998429	8.45634506937488	9.004376636565889	4.166025838068666
TCGA-02-2483-01	0.10846036372628663	0.657235706452662	1.3699040216638547	1.9483128244752952	1.9043295692931472	0.2834836598766111	0.708678553501773	4.707725629170648	2.366560995251071	2.780759989451788	4.8137706329122745	0.3636305217406997	2.379469742496197	6.825156154680997	7.662459106470642	7.568180202739248	7.894340960989198	8.372067889078682	3.4841403624428375
TCGA-02-2485-01	0.443360557323717	0.6194905975064439	2.20968461450884	3.1475154656460846	2.5038251415710557	1.2199283782140826	1.6058671929765067	3.6508836569462906	2.430607207388512	3.3342842513804896	5.111899941259448	1.121851837578987	3.4089614925868705	5.156963663253756	7.243347326083347	8.847966289305479	6.88460410688741	7.987892176385212	3.7182741053779185
TCGA-02-2486-01	1.1834272041157998	1.8487631345725306	3.4976277370303226	4.90744406054509	2.4599463397267933	2.5990779507586232	1.2010101342091923	4.455130415979631	3.0015537539806605	4.294458925644109	5.702380243963378	1.33446668546516	2.5723043803366457	7.834185015482437	6.837623845450157	9.34909445152189	9.964485301346112	9.493216876600677	4.585344247596067
TCGA-04-1348-01	2.6259770555074438	3.2514697432304156	4.651996371321452	1.9516575083723418	3.955594933180378	1.2963176102093028	2.6182741369521074	3.765026412824149	4.522161217805482	6.078091311875627	6.6532539923373815	5.08407168637812	6.977957159703663	7.014701434097782	6.335305218124978	8.366512812300506	10.117431047476048	9.440104453282483	5.261439116943315
TCGA-04-1357-01	3.475116179901352	4.943113720342462	6.240332239584475	4.18704642223251	5.197309592864176	2.210412559242382	4.022499951959097	4.580532817641127	5.6824555141069375	7.926133762597515	7.873288355804402	7.8257392116844375	8.33786656294312	9.297782018238449	6.383275754640375	8.84829305747377	11.092621288960004	9.70527156127357	6.546060587305009
TCGA-04-1362-01	0.3953226485919225	0.7399169974711061	1.647278292935011	0.5382158913576319	1.495634202319116	0.33152288817122405	0.5619123289531149	2.5012316316516827	1.6163899970192943	3.67042823379579	5.396818090294974	5.790503547731018	2.0944279567557293	4.802595731530803	7.053897325232828	8.175783608397499	7.990634421520135	7.874057720396533	3.482031750784745
TCGA-05-4244-01	2.0281063025440305	2.0697373172622155	3.014762677029204	2.44266208211615	1.1366724002075208	3.8145849512649646	2.523503620315247	3.718652563176025	2.3222921555731255	4.316077931090449	5.856820580270321	2.146274397660181	3.9178849185088898	7.9448700762925855	6.339544531895928	7.879082818808372	9.515242488648488	8.6558661485464	4.424590997845005
TCGA-05-4249-01	2.6598076443094345	3.890985465443088	2.8881746749541004	2.572135045818742	2.059592371937003	2.2044546602195805	2.286871229326097	4.453968258516035	2.1614116537672245	4.119204018041019	5.366562481479593	3.938190680457856	4.742022069522773	8.585697751799499	7.099016878319472	8.674303898009475	9.518002531510497	9.075458696676804	4.794214445006016
TCGA-05-4250-01	2.9182966734013576	3.427390220878033	5.624850083399316	2.899102386235574	3.4839773639054723	4.41575316271676	3.892513618081183	4.43919434444814	4.66615136104558	6.1746545711173635	6.77141792084279	6.4009768032910035	7.437036548237889	5.668003029302292	7.090258595412138	9.357461824714017	7.61849350987339	9.679579432662113	5.664728413864689
TCGA-05-4382-01	2.934290226130409	5.008841172707769	3.2356775302674583	4.296356299029311	3.4540146816223847	2.7762311206720853	3.7038313010446102	5.987615934378865	2.702050739052957	5.4363968043032544	5.777319597148211	3.7439012178821223	7.388785878910826	8.936469029035887	7.530124908938598	8.703011342775296	10.355373739456494	9.481971786186197	5.636236850530152
TCGA-05-4384-01	1.3525422704245658	2.695188280726784	2.8449363583398046	2.2345365740440997	1.2768910352973186	1.4760767475241885	2.5558674521066593	5.118661463966249	2.5070395635768548	4.379706816917883	5.489245804241639	2.019291229454639	3.7768921916304956	6.0080187685567905	6.485940647754675	7.994810880480884	7.953204905963939	8.764798041163512	4.162980501787277
TCGA-05-4389-01	3.085976667897285	3.746989462018615	5.920794930662894	3.326202644916388	3.8014389748082027	2.6362184052065407	4.5468376966319175	5.000124075810272	4.6741907637716205	6.641617859506623	6.576880503732549	6.126782550848876	7.276388033112568	6.515975515545708	6.637991478217454	9.145545218299432	8.128442668865796	9.767598556846693	5.753110889261079
TCGA-05-4390-01	1.3806335699368408	3.489625277693439	2.321434489333689	1.8764205652940014	1.5654807810665157	1.938632012895309	1.811405086353484	3.181956731045658	1.1476575425161808	3.207446478003999	5.022468289266972	2.4031343069682705	4.609569292027088	5.815508644881355	6.061803763444953	6.865020863395879	7.659484282381172	7.6964639105710075	3.780785882615323
