Gene1,Gene2
CD27,CD70
PDCD1,CD274
PDCD1,PDCD1LG2
CD80,CD274
CD28,CD80
CD28,CD86
CTLA4,CD80
CTLA4,CD86
CTLA4,CD28
CSF1R,CSF1
CSF1R,IL34
CSF1R,CSF3
CSF1,SLC7A1
CSF1,SIRPA
CSF1,CELSR3
CSF2,CSF1R
NCR3,NCR3LG1
FLT3,FLT3LG
ICOSLG,ICOS
TNFSF18,TNFRSF18
TNFSF4,TNFRSF4
TNFSF9,TNFRSF9
BMP10,VSIR
CCL4L2,VSIR
TNF,VSIR
TNFRSF13B,CD70
CD70,TNFRSF17
CD70,GPRC5B
TNF,ICOS
PDCD1,FAM3C
KLRG2,TNFSF9
HLA-DPA1,TNFSF9
PVR,TNFSF9
TNFSF9,IL13RA2
TNFSF9,ADGRG5
