"","Gene1","Gene2"
"207","DSC1","DSG2"
"208","CCL3","CCR3"
"209","NOTCH1","JAG2"
"210","CEACAM8","CEACAM6"
"211","EFNB2","EPHB4"
"212","CCL3","CCR1"
"213","ACKR2","CCL11"
"214","CD80","CD274"
"215","PLXNB2","SEMA4D"
"216","DSG1","DSC3"
"217","EPHB6","EFNB2"
"218","CXCL8","ACKR1"
"219","HLA-C","KIR2DL3"
"220","CXCL3","CXCR2"
"221","CCR1","CCL23"
"222","CCR2","CCL26"
"223","DLL4","NOTCH3"
"224","CCL16","CCR2"
"225","NTF3","NTRK2"
"226","FLT1","VEGFB"
"227","LILRA4","BST2"
"228","TNFSF10","TNFRSF10D"
"229","CD74","APP"
"230","HLA-B","KIR3DL2"
"231","CCR7","CCL19"
"232","ACVR2A","INHBE"
"233","CCR2","CCL8"
"234","CADM3","CADM1"
"235","ICAM1","SPN"
"236","EFNA1","EPHA3"
"237","INHBE","ACVR2B"
"238","NOTCH4","DLL3"
"239","EFNA5","EPHA5"
"240","EPHA2","EFNA4"
"241","CXCL11","CXCR3"
"242","FZD9","WNT2"
"243","CCL5","CCR1"
"244","EGFR","BTC"
"245","CXCL12","CXCR4"
"246","ICAM3","CD209"
"247","CEACAM1","CEACAM6"
"248","NOTCH1","DLK1"
"249","EPHB3","EFNB3"
"250","TIGIT","NECTIN2"
"251","WNT7B","FZD10"
"252","HLA-F","LILRB2"
"253","PVR","CD226"
"254","NGFR","BDNF"
"255","CD200","CD200R1"
"256","EPHA3","EFNA3"
"257","PLXNB2","SEMA4C"
"258","HLA-C","KIR2DL1"
"259","CEACAM5","CD1D"
"260","L1CAM","L1CAM"
"261","TNFRSF11B","TNFSF10"
"262","ACKR2","CCL7"
"263","NGFR","NTF3"
"264","ACKR2","CCL5"
"265","CCL22","DPP4"
"266","ACKR2","CCL4"
"267","CSF1R","CSF1"
"268","CCL5","CCR5"
"269","CCL24","CCR3"
"270","CTLA4","CD86"
"271","CCR5","CCL7"
"272","CCR10","CCL27"
"273","WNT5A","FZD1"
"274","TEK","ANGPT1"
"275","EFNA2","EPHA1"
"276","CADM3","EPB41L1"
"277","CEACAM5","CEACAM1"
"278","XCR1","XCL1"
"279","DSG2","DSC3"
"280","PDGFA","PDGFRA"
"281","CCL1","CCR8"
"282","WNT7B","FZD4"
"283","PVR","CD96"
"284","NOTCH1","JAG1"
"285","TNFSF13","TNFRSF17"
"286","CADM1","NECTIN3"
"287","JAG1","NOTCH3"
"288","VEGFA","FLT1"
"289","TNFSF14","TNFRSF6B"
"290","EPHB2","EFNB2"
"291","NGFR","NTF4"
"292","BDNF","NTRK2"
"293","ANGPT2","TEK"
"294","NRG1","ERBB4"
"295","CEACAM1","SELE"
"296","HLA-F","KIR3DL2"
"297","ACKR2","CCL8"
"298","EPHA3","EFNA5"
"299","ERBB3","NRG1"
"300","EFNB2","EPHB1"
"301","VEGFA","KDR"
"302","CCL3","CCR5"
"303","PLXNB2","SEMA4G"
"304","EGFR","HBEGF"
"305","CD8A","CEACAM5"
"306","CXCL13","CXCR5"
"307","WNT2","FZD4"
"308","PPBP","CXCR2"
"309","NOTCH3","JAG2"
"310","HLA-E","KLRC2"
"311","NECTIN1","NECTIN3"
"312","CXCL1","CXCR1"
"313","CCL3L1","CCR3"
"314","CXCR2","CXCL6"
"315","CCR1","CCL15"
"316","EFNA2","EPHA3"
"317","CRTAM","CADM1"
"318","CCR2","CCL13"
"319","CCR3","CCL7"
"320","HLA-A","KIR3DL1"
"321","PTPRC","CD22"
"322","CDH1","KLRG1"
"323","CXCL11","DPP4"
"324","PLXNB1","SEMA4D"
"325","CCL25","ACKR4"
"326","CEACAM1","CEACAM8"
"327","CXCL2","DPP4"
"328","CCL2","CCR2"
"329","SEMA5A","PLXNB3"
"330","CCL4","CCR5"
"331","NRP2","PGF"
"332","DLK1","NOTCH4"
"333","EPHB1","EFNB3"
"334","TGFB3","TGFBR3"
"335","CD27","CD70"
"336","ACVR2A","INHBC"
"337","EFNA3","EPHA7"
"338","NRG3","ERBB4"
"339","FGF2","FGFR3"
"340","WNT7B","FZD1"
"341","EFNA2","EPHA5"
"342","VEGFD","FLT4"
"343","PDGFRB","PDGFD"
"344","EPHB2","EFNB3"
"345","DPP4","CXCL12"
"346","HLA-G","LILRB2"
