,x
1,laml
2,acc
3,blca
4,lgg
5,brca
6,cesc
7,chol
8,coadread
9,dlbc
10,esca
11,gbm
12,hnsc
13,kich
14,kirc
15,kirp
16,lihc
17,luad
18,lusc
19,meso
20,ov
21,paad
22,pcpg
23,prad
24,sarc
25,skcm
26,stad
27,tgct
28,thym
29,thca
30,ucs
31,ucec
32,uvm
